# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	31513
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=62 d=1.01193 t=30983
a li ba ba 	阿里巴巴	c=1 d=1 t=15899
ai 	唉	c=2 d=1.07101 t=8314
ai 	愛	c=1 d=1 t=2363
ai ai 	愛愛	c=0 d=0.1 t=13782
ai da 	捱打	c=1 d=1 t=5371
ai ma 	捱罵	c=1 d=1 t=22921
ai ni 	愛你	c=4 d=1 t=27488
ai zi bing 	艾滋病	c=1 d=1 t=25008
an 	按	c=27 d=1.18825 t=30553
an hui 	安徽	c=3 d=1.20394 t=20066
an jian 	安檢	c=1 d=1 t=13287
an ke zu 	按課組	c=1 d=1 t=7025
an pai 	安排	c=11 d=1.00202 t=30153
an pai hao 	安排好	c=0 d=0.1 t=10788
an quan 	安全	c=1 d=0.1 t=5929
an quan di da 	安全抵達	c=1 d=1 t=5930
an xiao zu 	按小組	c=1 d=1 t=20492
an xin 	安心	c=2 d=1.97045 t=30744
an zhao 	按照	c=26 d=2.10654 t=30283
an zhuang 	安裝	c=11 d=3.91156 t=31136
an zhuang bao 	安裝包	c=2 d=1 t=21708
an zhuo 	安卓	c=6 d=1.0216 t=30849
ba 	吧	c=140 d=2.46806 t=31458
ba 	把	c=134 d=1.49436 t=31454
ba dian 	八點	c=3 d=1.01197 t=28030
ba dian ban 	八點半	c=1 d=1 t=31062
ba ni 	把你	c=1 d=0.1 t=27504
ba ni de 	把你的	c=1 d=1 t=27505
ba wo 	把我	c=2 d=1 t=20741
ba wo de 	把我的	c=1 d=1 t=3334
ba wo men 	把我們	c=1 d=1 t=1374
ba zhou 	霸州	c=1 d=1 t=13488
bai 	敗	c=1 d=1 t=7408
bai 	白	c=1 d=1 t=3234
bai cai 	白菜	c=5 d=3.9407 t=12660
bai du 	百度	c=2 d=1 t=10972
bai jia 	百佳	c=5 d=1.98511 t=7406
bai luo bo 	白蘿蔔	c=9 d=6.84959 t=8355
bai ping 	白屏	c=2 d=1.47473 t=8369
bai tian 	白天	c=2 d=1 t=30370
ban 	半	c=5 d=0.1 t=30290
ban 	搬	c=0 d=0.1 t=14074
ban 	版	c=2 d=0.100001 t=11097
ban 	班	c=1 d=0.1 t=29514
ban 	辦	c=1 d=1 t=24825
ban ben 	版本	c=41 d=1.00003 t=30883
ban ben hao 	版本號	c=3 d=1.00001 t=21993
ban bian 	半邊	c=1 d=1 t=10259
ban fa 	辦法	c=4 d=1 t=28842
ban fen zhong 	半分鐘	c=1 d=1 t=23011
ban gong shi 	辦公室	c=5 d=1.00088 t=24213
ban guo qu 	搬過去	c=1 d=1 t=14075
ban nian 	半年	c=3 d=1 t=30622
ban quan 	版權	c=1 d=1 t=7751
ban shan 	半扇	c=1 d=1 t=1646
ban tian 	半天	c=1 d=1 t=15573
ban xiao shi 	半小時	c=2 d=1 t=24191
ban ye 	半夜	c=1 d=1 t=22531
ban zhuan 	搬磚	c=2 d=1.96561 t=4401
bang 	幫	c=6 d=1 t=31494
bang 	棒	c=2 d=1.00002 t=30462
bang 	綁	c=10 d=1.0225 t=25458
bang bang 	棒棒	c=2 d=1 t=30068
bang de 	綁的	c=2 d=1 t=23834
bang ding 	綁定	c=32 d=1 t=31121
bang ding le 	綁定了	c=1 d=1 t=2481
bang kan xia 	幫看下	c=2 d=1 t=26497
bang le 	綁了	c=2 d=1 t=22548
bang ni 	幫你	c=1 d=1 t=16339
bang shi bai 	綁失敗	c=1 d=1 t=9707
bang wo 	幫我	c=15 d=1 t=29402
bang wo men 	幫我們	c=1 d=1 t=15589
bang zhu 	幫助	c=12 d=1 t=31137
bao 	包	c=14 d=2.94111 t=31135
bao 	報	c=9 d=1.20701 t=28128
bao 	寶	c=2 d=1 t=19678
bao bao 	包包	c=2 d=1.85558 t=9390
bao bao 	寶寶	c=2 d=1.29083 t=8785
bao bao 	抱抱	c=2 d=1 t=23995
bao bei 	寶貝	c=100 d=1.08645 t=31064
bao bing 	刨冰	c=0 d=0.1 t=16196
bao chi 	保持	c=3 d=1.00001 t=20964
bao cun 	保存	c=5 d=1.00015 t=7161
bao cuo 	報錯	c=14 d=1.9608 t=30886
bao cuo le 	報錯了	c=2 d=1 t=10981
bao gao 	報告	c=18 d=3.1438 t=22355
bao gao shu liang 	報告數量	c=1 d=1 t=22356
bao gu zhang 	報故障	c=1 d=1 t=87
bao hao 	包好	c=1 d=1 t=27325
bao jia 	報價	c=8 d=1 t=22654
bao jing 	報警	c=5 d=1.95315 t=9080
bao kuo 	包括	c=2 d=1 t=22341
bao liu 	保留	c=3 d=1 t=17876
bao lu 	暴露	c=3 d=1 t=27330
bao pi 	報批	c=1 d=1 t=1772
bao qian 	抱歉	c=1 d=1 t=9943
bao shou 	保守	c=1 d=1 t=4314
bao xian 	保險	c=1 d=1 t=1537
bao xian ye wu 	保險業務	c=1 d=1 t=1536
bao zhang 	保障	c=1 d=1 t=2958
bao zhang 	報障	c=7 d=1.95123 t=25565
bao zheng 	保證	c=8 d=1.00001 t=30954
bao zhi qi 	保質期	c=3 d=1.35735 t=17631
bao zhuang 	包裝	c=1 d=1 t=9979
bei 	北	c=1 d=1 t=19306
