# Rime user dictionary
#@/db_name	sougou
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6400
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=9 d=0.00278899 t=6400
a li 	阿里	c=2 d=8.17888e-07 t=6400
a yi 	阿姨	c=1 d=0.00174675 t=6400
ai de 	爱的	c=1 d=0.000446085 t=6400
an 	安	c=2 d=4.79022e-10 t=6400
an 	按	c=8 d=2.89399e-05 t=6400
an hui 	安徽	c=1 d=0.0012684 t=6400
an niu 	按钮	c=1 d=0.00326335 t=6400
an pai 	安排	c=4 d=0.715621 t=6400
an zhao 	按照	c=10 d=1.50151e-08 t=6400
an zhuang 	安装	c=2 d=1.53075e-11 t=6400
ba 	吧	c=31 d=0.625567 t=6400
ba 	把	c=17 d=0.00330538 t=6400
ba wo 	把我	c=1 d=0.154896 t=6400
bai 	白	c=1 d=1.90728e-08 t=6400
bai cai 	白菜	c=2 d=2.9047e-08 t=6400
bai nian 	拜年	c=1 d=0.162026 t=6400
bai rou 	白肉	c=2 d=0.00399125 t=6400
bai tian 	白天	c=1 d=2.14491e-07 t=6400
bai zhi 	白纸	c=2 d=7.54368e-06 t=6400
ban 	办	c=1 d=8.46281e-08 t=6400
ban 	版	c=1 d=4.08747e-05 t=6400
ban 	班	c=2 d=0.0116403 t=6400
ban ben 	版本	c=1 d=0.00149594 t=6400
ban ben hao 	版本号	c=1 d=2.68657e-09 t=6400
ban fa 	办法	c=2 d=1.64535e-08 t=6400
ban ge 	半个	c=1 d=6.87523e-05 t=6400
ban gong 	办公	c=1 d=5.14799e-13 t=6400
ban ye 	半夜	c=1 d=1.38521e-10 t=6400
bang 	棒	c=1 d=0.101266 t=6400
bang ding 	绑定	c=5 d=0.818739 t=6400
bang ding le 	绑定了	c=1 d=6.25321e-07 t=6400
bang wo 	帮我	c=4 d=5.02129e-11 t=6400
bang yi xia 	绑一下	c=1 d=3.76539e-10 t=6400
bang zhu 	帮助	c=2 d=0.00146633 t=6400
bao 	包	c=3 d=0.00221726 t=6400
bao 	报	c=3 d=0.644152 t=6400
bao bei 	宝贝	c=2 d=0.00433425 t=6400
bao bu 	包不	c=1 d=2.7765e-14 t=6400
bao gao 	报告	c=7 d=0.00414217 t=6400
bao han 	包含	c=3 d=0.253455 t=6400
bao hu 	保护	c=1 d=0.0017643 t=6400
bao kuo 	包括	c=1 d=2.79042e-14 t=6400
bao lu 	暴露	c=1 d=0.0395575 t=6400
bao man 	饱满	c=1 d=8.11136e-09 t=6400
bao ming 	包名	c=1 d=0.000181365 t=6400
bao qian 	抱歉	c=1 d=0.831104 t=6400
bao zhi qi 	保质期	c=2 d=2.13552e-06 t=6400
bei ji xing 	北极星	c=5 d=0.262155 t=6400
bei jing 	北京	c=1 d=1.33044e-06 t=6400
bei wo 	被我	c=1 d=5.55951e-06 t=6400
bei zhu 	备注	c=9 d=0.000236302 t=6400
ben ci 	本次	c=1 d=5.18454e-08 t=6400
ben di 	本地	c=1 d=0.000162473 t=6400
ben di 	本底	c=2 d=0.000161662 t=6400
ben lai 	本来	c=1 d=2.12429e-11 t=6400
ben shen 	本身	c=2 d=0.000126454 t=6400
ben ye 	本页	c=1 d=6.94669e-09 t=6400
ben zhou 	本周	c=1 d=0.704688 t=6400
ben zhou qi 	本周期	c=1 d=0.0294518 t=6400
ben zhou si 	本周四	c=1 d=6.33241e-08 t=6400
